========================================================
  BS(45,44) — Thermodynamically Guided Solver
[10367.5s] SA epochs explored locally: 714
[10420.4s] SA epochs explored locally: 721
[10574.3s] SA epochs explored locally: 728
[10756.9s] SA epochs explored locally: 735
[11101.1s] SA epochs explored locally: 742
[11109s] SA epochs explored locally: 749
[11215.7s] SA epochs explored locally: 756
[11227s] SA epochs explored locally: 763
[11261.3s] SA epochs explored locally: 770
[11325.1s] SA epochs explored locally: 777
[11590.4s] SA epochs explored locally: 784
[11732.7s] SA epochs explored locally: 791
[11958.1s] SA epochs explored locally: 798
[12088.4s] SA epochs explored locally: 805
[12133.9s] SA epochs explored locally: 812
[12267.8s] SA epochs explored locally: 819
[12343.2s] SA epochs explored locally: 826
[12380.6s] SA epochs explored locally: 833
[12414.5s] SA epochs explored locally: 840
[12470.7s] SA epochs explored locally: 847
[12588.5s] SA epochs explored locally: 854
[12612s] SA epochs explored locally: 861
[12655.5s] SA epochs explored locally: 868
[12772.2s] SA epochs explored locally: 875
[12804.3s] SA epochs explored locally: 882
[12824.4s] SA epochs explored locally: 889
[12856.7s] SA epochs explored locally: 896
[12876.6s] SA epochs explored locally: 903
[12900.8s] SA epochs explored locally: 910
[13005.1s] SA epochs explored locally: 917
[13101.2s] SA epochs explored locally: 924
[13189s] SA epochs explored locally: 931
[13237s] SA epochs explored locally: 938
[13412s] SA epochs explored locally: 945
[13471.6s] SA epochs explored locally: 952
[13729.7s] SA epochs explored locally: 959
[13753.7s] SA epochs explored locally: 966
[13863.3s] SA epochs explored locally: 973
[13891.9s] SA epochs explored locally: 980
[13981.2s] SA epochs explored locally: 987
[14079.3s] SA epochs explored locally: 994
[14091.6s] SA epochs explored locally: 1001
[14169.3s] SA epochs explored locally: 1008
[14238.6s] SA epochs explored locally: 1015
[14251s] SA epochs explored locally: 1022
[14271.5s] SA epochs explored locally: 1029
[14357.6s] SA epochs explored locally: 1036
[14447.1s] SA epochs explored locally: 1043
[14451.7s] SA epochs explored locally: 1050
[14751.5s] SA epochs explored locally: 1057
[14799.9s] SA epochs explored locally: 1064
[14839.8s] SA epochs explored locally: 1071
[14895.5s] SA epochs explored locally: 1078
[15195.5s] SA epochs explored locally: 1085
[15384.5s] SA epochs explored locally: 1092
[15452.8s] SA epochs explored locally: 1099
[15481.3s] SA epochs explored locally: 1106
[15505.5s] SA epochs explored locally: 1113
[15618.1s] SA epochs explored locally: 1120
[15718s] SA epochs explored locally: 1127
[15873s] SA epochs explored locally: 1134
[15889.3s] SA epochs explored locally: 1141
[16020s] SA epochs explored locally: 1148
[16028.3s] SA epochs explored locally: 1155
[16036.6s] SA epochs explored locally: 1162
[16121.6s] SA epochs explored locally: 1169
[16198.5s] SA epochs explored locally: 1176
[16428.3s] SA epochs explored locally: 1183
[16476.2s] SA epochs explored locally: 1190
[16642s] SA epochs explored locally: 1197
[16823.4s] SA epochs explored locally: 1204
[16902.2s] SA epochs explored locally: 1211
[16910s] SA epochs explored locally: 1218
[16921.4s] SA epochs explored locally: 1225
[17110.8s] SA epochs explored locally: 1232
[17193.5s] SA epochs explored locally: 1239
[17246.8s] SA epochs explored locally: 1246
[17274.7s] SA epochs explored locally: 1253
[17478.5s] SA epochs explored locally: 1260
[17615.6s] SA epochs explored locally: 1267
[17679.4s] SA epochs explored locally: 1274
[17695.7s] SA epochs explored locally: 1281
[17915.5s] SA epochs explored locally: 1288
[18066.5s] SA epochs explored locally: 1295
[18163s] SA epochs explored locally: 1302
[18296.1s] SA epochs explored locally: 1309
[18328.3s] SA epochs explored locally: 1316
[18520.5s] SA epochs explored locally: 1323
[18540.4s] SA epochs explored locally: 1330
[18611.9s] SA epochs explored locally: 1337
[18939.8s] SA epochs explored locally: 1344
[19031.4s] SA epochs explored locally: 1351
[19185.4s] SA epochs explored locally: 1358
[19225.3s] SA epochs explored locally: 1365
[19233.5s] SA epochs explored locally: 1372
[19334.1s] SA epochs explored locally: 1379
[19354.3s] SA epochs explored locally: 1386
[19458.3s] SA epochs explored locally: 1393
[19533.8s] SA epochs explored locally: 1400
[19569.8s] SA epochs explored locally: 1407
[19578s] SA epochs explored locally: 1414
[19594.2s] SA epochs explored locally: 1421
[19790.4s] SA epochs explored locally: 1428
[20079.1s] SA epochs explored locally: 1435
[20146.4s] SA epochs explored locally: 1442
[20174.7s] SA epochs explored locally: 1449
[20222.8s] SA epochs explored locally: 1456
[20246.8s] SA epochs explored locally: 1463
[20294.8s] SA epochs explored locally: 1470
[20338.5s] SA epochs explored locally: 1477
[20339.9s] SA epochs explored locally: 1484
[20431.2s] SA epochs explored locally: 1491
[20443.2s] SA epochs explored locally: 1498
[20451.4s] SA epochs explored locally: 1505
[20494.9s] SA epochs explored locally: 1512
[20571s] SA epochs explored locally: 1519
[20599.2s] SA epochs explored locally: 1526
[20765.3s] SA epochs explored locally: 1533
[20876.8s] SA epochs explored locally: 1540
[20904.8s] SA epochs explored locally: 1547
[20952.8s] SA epochs explored locally: 1554
[20961s] SA epochs explored locally: 1561
[20973s] SA epochs explored locally: 1568
========================================================
  BS(45,44) — Thermodynamically Guided Solver
  Targeting NPAF=0 inside Theorem 2.2 Manifold
  [ Threads: 7 ]
========================================================
Loaded 180 valid sum signatures.

[71.5668s] SA epochs explored locally: 7 Speed: 0.0978107
[61768.7s] SA epochs explored locally: 14 Speed: 0.000226652
[61859.2s] SA epochs explored locally: 21 Speed: 0.00033948
[61931.9s] SA epochs explored locally: 28 Speed: 0.000452109
[61996.4s] SA epochs explored locally: 35 Speed: 0.000564549
[62083.1s] SA epochs explored locally: 42 Speed: 0.000676513
[62173.4s] SA epochs explored locally: 49 Speed: 0.000788119
[62218.5s] SA epochs explored locally: 56 Speed: 0.000900054
[62245.1s] SA epochs explored locally: 63 Speed: 0.00101213
[62267.6s] SA epochs explored locally: 70 Speed: 0.00112418
[62409.4s] SA epochs explored locally: 77 Speed: 0.00123379
[62641.9s] SA epochs explored locally: 84 Speed: 0.00134095
[62714.8s] SA epochs explored locally: 91 Speed: 0.00145101
[62748.9s] SA epochs explored locally: 98 Speed: 0.00156178
[62938.3s] SA epochs explored locally: 105 Speed: 0.0016683
[62946.1s] SA epochs explored locally: 112 Speed: 0.0017793
[62976.7s] SA epochs explored locally: 119 Speed: 0.00188959
[63221.4s] SA epochs explored locally: 126 Speed: 0.001993
[63277.5s] SA epochs explored locally: 133 Speed: 0.00210185
[63352.5s] SA epochs explored locally: 140 Speed: 0.00220986
[63379.2s] SA epochs explored locally: 147 Speed: 0.00231937
[63451.1s] SA epochs explored locally: 154 Speed: 0.00242706
[63728.3s] SA epochs explored locally: 161 Speed: 0.00252635
[63862.8s] SA epochs explored locally: 168 Speed: 0.00263064
[63923s] SA epochs explored locally: 175 Speed: 0.00273767
[64254.1s] SA epochs explored locally: 182 Speed: 0.0028325
[64325.9s] SA epochs explored locally: 189 Speed: 0.00293816
[64542.6s] SA epochs explored locally: 196 Speed: 0.00303675
[64840s] SA epochs explored locally: 203 Speed: 0.00313078
[64847.9s] SA epochs explored locally: 210 Speed: 0.00323835
[64855.7s] SA epochs explored locally: 217 Speed: 0.00334589
[65127.7s] SA epochs explored locally: 224 Speed: 0.0034394
[65210.2s] SA epochs explored locally: 231 Speed: 0.00354239
[65262.8s] SA epochs explored locally: 238 Speed: 0.00364679
[65500.1s] SA epochs explored locally: 245 Speed: 0.00374045
[65580s] SA epochs explored locally: 252 Speed: 0.00384263
[65722.6s] SA epochs explored locally: 259 Speed: 0.00394081
[65787s] SA epochs explored locally: 266 Speed: 0.00404335
[65814s] SA epochs explored locally: 273 Speed: 0.00414806
[65926.1s] SA epochs explored locally: 280 Speed: 0.00424718
[65945.3s] SA epochs explored locally: 287 Speed: 0.00435209
[66002.2s] SA epochs explored locally: 294 Speed: 0.0044544
[66062.8s] SA epochs explored locally: 301 Speed: 0.00455627
[66228.3s] SA epochs explored locally: 308 Speed: 0.00465058
[66236.1s] SA epochs explored locally: 315 Speed: 0.00475571
[66300.4s] SA epochs explored locally: 322 Speed: 0.00485668
[66375.1s] SA epochs explored locally: 329 Speed: 0.00495668
[66524.5s] SA epochs explored locally: 336 Speed: 0.00505077
[66573.6s] SA epochs explored locally: 343 Speed: 0.0051522
[66581.4s] SA epochs explored locally: 350 Speed: 0.00525673
[66645.8s] SA epochs explored locally: 357 Speed: 0.00535668
[66846.3s] SA epochs explored locally: 364 Speed: 0.00544532
[66918.3s] SA epochs explored locally: 371 Speed: 0.00554407
[67045s] SA epochs explored locally: 378 Speed: 0.00563801
[67198.4s] SA epochs explored locally: 385 Speed: 0.0057293
[67262.1s] SA epochs explored locally: 392 Speed: 0.00582795
[67314.5s] SA epochs explored locally: 399 Speed: 0.0059274
[67416.2s] SA epochs explored locally: 406 Speed: 0.00602229
[67446.8s] SA epochs explored locally: 413 Speed: 0.00612335
[67458.2s] SA epochs explored locally: 420 Speed: 0.00622608
[67696s] SA epochs explored locally: 427 Speed: 0.00630761
[67829.7s] SA epochs explored locally: 434 Speed: 0.00639838
[67863.6s] SA epochs explored locally: 441 Speed: 0.00649833
[67908.8s] SA epochs explored locally: 448 Speed: 0.00659708
[67939.3s] SA epochs explored locally: 455 Speed: 0.00669715
[68006.8s] SA epochs explored locally: 462 Speed: 0.00679344
[68055.3s] SA epochs explored locally: 469 Speed: 0.00689145
[68204.8s] SA epochs explored locally: 476 Speed: 0.00697898
[68446.8s] SA epochs explored locally: 483 Speed: 0.00705658
[68514.6s] SA epochs explored locally: 490 Speed: 0.00715176
[68601.5s] SA epochs explored locally: 497 Speed: 0.00724474
[68708s] SA epochs explored locally: 504 Speed: 0.00733539
[69031.1s] SA epochs explored locally: 511 Speed: 0.00740246
[69098.8s] SA epochs explored locally: 518 Speed: 0.00749651
[69177.1s] SA epochs explored locally: 525 Speed: 0.00758921
[69277.9s] SA epochs explored locally: 532 Speed: 0.00767921
[69539.1s] SA epochs explored locally: 539 Speed: 0.00775104
[69676.9s] SA epochs explored locally: 546 Speed: 0.00783617
[69688.3s] SA epochs explored locally: 553 Speed: 0.00793534
[69782.5s] SA epochs explored locally: 560 Speed: 0.00802493
[69876.6s] SA epochs explored locally: 567 Speed: 0.00811431
[69967.2s] SA epochs explored locally: 574 Speed: 0.00820385
[70307.2s] SA epochs explored locally: 581 Speed: 0.00826373
[70380.4s] SA epochs explored locally: 588 Speed: 0.0083546
[70441.8s] SA epochs explored locally: 595 Speed: 0.00844669
[70533.7s] SA epochs explored locally: 602 Speed: 0.00853493
[70635.4s] SA epochs explored locally: 609 Speed: 0.00862174
[70669.2s] SA epochs explored locally: 616 Speed: 0.00871667
[70695.7s] SA epochs explored locally: 623 Speed: 0.00881242
[70782.1s] SA epochs explored locally: 630 Speed: 0.00890056
[70804.9s] SA epochs explored locally: 637 Speed: 0.00899655
[70869.4s] SA epochs explored locally: 644 Speed: 0.00908714
[71187.9s] SA epochs explored locally: 651 Speed: 0.00914481
[71352.9s] SA epochs explored locally: 658 Speed: 0.00922176
[71578.5s] SA epochs explored locally: 665 Speed: 0.0092905
[71661.8s] SA epochs explored locally: 672 Speed: 0.00937738
[71718.2s] SA epochs explored locally: 679 Speed: 0.00946761
[71781.7s] SA epochs explored locally: 686 Speed: 0.00955675
[71800.5s] SA epochs explored locally: 693 Speed: 0.00965175
[71922.6s] SA epochs explored locally: 700 Speed: 0.00973269
[72126.8s] SA epochs explored locally: 707 Speed: 0.00980218
[72221.8s] SA epochs explored locally: 714 Speed: 0.00988621
[72319.9s] SA epochs explored locally: 721 Speed: 0.0099696
[72338.6s] SA epochs explored locally: 728 Speed: 0.0100638
[72409.4s] SA epochs explored locally: 735 Speed: 0.0101506
[72651.2s] SA epochs explored locally: 742 Speed: 0.0102132
[72696.5s] SA epochs explored locally: 749 Speed: 0.0103031
[72849.4s] SA epochs explored locally: 756 Speed: 0.0103776
[73057.4s] SA epochs explored locally: 763 Speed: 0.0104438
[73068.9s] SA epochs explored locally: 770 Speed: 0.010538
[73118s] SA epochs explored locally: 777 Speed: 0.0106267
[73148.6s] SA epochs explored locally: 784 Speed: 0.0107179
[73369.9s] SA epochs explored locally: 791 Speed: 0.010781
[73445.1s] SA epochs explored locally: 798 Speed: 0.0108653
[73634.8s] SA epochs explored locally: 805 Speed: 0.0109323
[73748.6s] SA epochs explored locally: 812 Speed: 0.0110104
[73779s] SA epochs explored locally: 819 Speed: 0.0111007
[73857.2s] SA epochs explored locally: 826 Speed: 0.0111837
[73891s] SA epochs explored locally: 833 Speed: 0.0112734
[73939.6s] SA epochs explored locally: 840 Speed: 0.0113606
[74065.1s] SA epochs explored locally: 847 Speed: 0.0114359
[74072.9s] SA epochs explored locally: 854 Speed: 0.0115292
[74084.2s] SA epochs explored locally: 861 Speed: 0.0116219
[74147.8s] SA epochs explored locally: 868 Speed: 0.0117064
[74285.5s] SA epochs explored locally: 875 Speed: 0.0117789
[74342s] SA epochs explored locally: 882 Speed: 0.0118641
[74550.4s] SA epochs explored locally: 889 Speed: 0.0119248
[74898.8s] SA epochs explored locally: 896 Speed: 0.0119628
[75020.2s] SA epochs explored locally: 903 Speed: 0.0120368
[75039.1s] SA epochs explored locally: 910 Speed: 0.012127
[75293.3s] SA epochs explored locally: 917 Speed: 0.012179
[75458.1s] SA epochs explored locally: 924 Speed: 0.0122452
[75495.7s] SA epochs explored locally: 931 Speed: 0.0123318
[75526.1s] SA epochs explored locally: 938 Speed: 0.0124195
[75533.9s] SA epochs explored locally: 945 Speed: 0.0125109
[75632.8s] SA epochs explored locally: 952 Speed: 0.0125871
[75890.1s] SA epochs explored locally: 959 Speed: 0.0126367
[75961.6s] SA epochs explored locally: 966 Speed: 0.012717
[76051.8s] SA epochs explored locally: 973 Speed: 0.0127939
[76104.4s] SA epochs explored locally: 980 Speed: 0.012877
[76115.8s] SA epochs explored locally: 987 Speed: 0.0129671
[76293.3s] SA epochs explored locally: 994 Speed: 0.0130287
[76330.8s] SA epochs explored locally: 1001 Speed: 0.013114
[76444.3s] SA epochs explored locally: 1008 Speed: 0.0131861
[76661.1s] SA epochs explored locally: 1015 Speed: 0.0132401
[76806.7s] SA epochs explored locally: 1022 Speed: 0.0133061
[76975.9s] SA epochs explored locally: 1029 Speed: 0.0133678
[76994.9s] SA epochs explored locally: 1036 Speed: 0.0134554
[77108.5s] SA epochs explored locally: 1043 Speed: 0.0135264
[77142.5s] SA epochs explored locally: 1050 Speed: 0.0136112
[77153.8s] SA epochs explored locally: 1057 Speed: 0.0136999
[77176.4s] SA epochs explored locally: 1064 Speed: 0.0137866
[77177.8s] SA epochs explored locally: 1071 Speed: 0.0138771
[77299.6s] SA epochs explored locally: 1078 Speed: 0.0139457
[77386.6s] SA epochs explored locally: 1085 Speed: 0.0140205
[77480.6s] SA epochs explored locally: 1092 Speed: 0.0140939
[77626.2s] SA epochs explored locally: 1099 Speed: 0.0141576
[77633.9s] SA epochs explored locally: 1106 Speed: 0.0142463
[77664.4s] SA epochs explored locally: 1113 Speed: 0.0143309
[77714s] SA epochs explored locally: 1120 Speed: 0.0144118
[77744.8s] SA epochs explored locally: 1127 Speed: 0.0144961
[77805.7s] SA epochs explored locally: 1134 Speed: 0.0145748
[77832.6s] SA epochs explored locally: 1141 Speed: 0.0146597
[78001.7s] SA epochs explored locally: 1148 Speed: 0.0147176
[78065.2s] SA epochs explored locally: 1155 Speed: 0.0147953
[78110.3s] SA epochs explored locally: 1162 Speed: 0.0148764
[78121.6s] SA epochs explored locally: 1169 Speed: 0.0149638
[78356s] SA epochs explored locally: 1176 Speed: 0.0150084
[78378.8s] SA epochs explored locally: 1183 Speed: 0.0150934
[78390.1s] SA epochs explored locally: 1190 Speed: 0.0151805
[78527.7s] SA epochs explored locally: 1197 Speed: 0.015243
[78550.4s] SA epochs explored locally: 1204 Speed: 0.0153277
[78723.7s] SA epochs explored locally: 1211 Speed: 0.0153829
[78858s] SA epochs explored locally: 1218 Speed: 0.0154455
[78892s] SA epochs explored locally: 1225 Speed: 0.0155276
[78963.2s] SA epochs explored locally: 1232 Speed: 0.0156022
[79096.7s] SA epochs explored locally: 1239 Speed: 0.0156644
[79130.9s] SA epochs explored locally: 1246 Speed: 0.0157461
[79280.8s] SA epochs explored locally: 1253 Speed: 0.0158046
[79329.8s] SA epochs explored locally: 1260 Speed: 0.0158831
[79404.7s] SA epochs explored locally: 1267 Speed: 0.0159562
[79687.2s] SA epochs explored locally: 1274 Speed: 0.0159875
[79724.7s] SA epochs explored locally: 1281 Speed: 0.0160678
[79732.5s] SA epochs explored locally: 1288 Speed: 0.016154
[79774s] SA epochs explored locally: 1295 Speed: 0.0162334
[79959.9s] SA epochs explored locally: 1302 Speed: 0.0162832
[80023.6s] SA epochs explored locally: 1309 Speed: 0.0163577
[80285.6s] SA epochs explored locally: 1316 Speed: 0.0163915
[80304.6s] SA epochs explored locally: 1323 Speed: 0.0164748
[80346.1s] SA epochs explored locally: 1330 Speed: 0.0165534
[80421.6s] SA epochs explored locally: 1337 Speed: 0.0166249
[80459.5s] SA epochs explored locally: 1344 Speed: 0.016704
[80652.6s] SA epochs explored locally: 1351 Speed: 0.0167509
[80746.8s] SA epochs explored locally: 1358 Speed: 0.016818
[80784.3s] SA epochs explored locally: 1365 Speed: 0.0168969
[80840s] SA epochs explored locally: 1372 Speed: 0.0169718
[80888.5s] SA epochs explored locally: 1379 Speed: 0.0170482
[80997.6s] SA epochs explored locally: 1386 Speed: 0.0171116
[81027.9s] SA epochs explored locally: 1393 Speed: 0.0171916
[81043.2s] SA epochs explored locally: 1400 Speed: 0.0172747
[81077.2s] SA epochs explored locally: 1407 Speed: 0.0173538
[81194.9s] SA epochs explored locally: 1414 Speed: 0.0174149
[81328.4s] SA epochs explored locally: 1421 Speed: 0.0174724
[81586.3s] SA epochs explored locally: 1428 Speed: 0.0175029
[81620.4s] SA epochs explored locally: 1435 Speed: 0.0175814
[81677.2s] SA epochs explored locally: 1442 Speed: 0.0176549
[81760.7s] SA epochs explored locally: 1449 Speed: 0.0177224
[82062.7s] SA epochs explored locally: 1456 Speed: 0.0177425
[82385.7s] SA epochs explored locally: 1463 Speed: 0.0177579
[82504s] SA epochs explored locally: 1470 Speed: 0.0178173
[82549.4s] SA epochs explored locally: 1477 Speed: 0.0178923
[82624.7s] SA epochs explored locally: 1484 Speed: 0.0179607
[82897.3s] SA epochs explored locally: 1491 Speed: 0.0179861
[82927.9s] SA epochs explored locally: 1498 Speed: 0.0180639
[82980.8s] SA epochs explored locally: 1505 Speed: 0.0181367
[83026.5s] SA epochs explored locally: 1512 Speed: 0.0182111
[83172.2s] SA epochs explored locally: 1519 Speed: 0.0182633
[83206.4s] SA epochs explored locally: 1526 Speed: 0.0183399
[83383.9s] SA epochs explored locally: 1533 Speed: 0.0183849
[83584.9s] SA epochs explored locally: 1540 Speed: 0.0184244
[83640.9s] SA epochs explored locally: 1547 Speed: 0.0184957
[83719.3s] SA epochs explored locally: 1554 Speed: 0.018562
[83952.8s] SA epochs explored locally: 1561 Speed: 0.0185938
[84126.3s] SA epochs explored locally: 1568 Speed: 0.0186386
[84134.1s] SA epochs explored locally: 1575 Speed: 0.0187201
[84216.8s] SA epochs explored locally: 1582 Speed: 0.0187848
[84224.6s] SA epochs explored locally: 1589 Speed: 0.0188662
[84490.1s] SA epochs explored locally: 1596 Speed: 0.0188898
[84726.4s] SA epochs explored locally: 1603 Speed: 0.0189197
[84821s] SA epochs explored locally: 1610 Speed: 0.0189812
[84828.8s] SA epochs explored locally: 1617 Speed: 0.0190619
[84970.9s] SA epochs explored locally: 1624 Speed: 0.0191124
[85005.1s] SA epochs explored locally: 1631 Speed: 0.0191871
[85107s] SA epochs explored locally: 1638 Speed: 0.0192464
[85197.6s] SA epochs explored locally: 1645 Speed: 0.0193081
[85379.8s] SA epochs explored locally: 1652 Speed: 0.0193488
[85633.3s] SA epochs explored locally: 1659 Speed: 0.0193733
[85697s] SA epochs explored locally: 1666 Speed: 0.0194406
[85749.6s] SA epochs explored locally: 1673 Speed: 0.0195103
[85779.7s] SA epochs explored locally: 1680 Speed: 0.019585
[85897.5s] SA epochs explored locally: 1687 Speed: 0.0196397
[86040.1s] SA epochs explored locally: 1694 Speed: 0.0196885
[86209.3s] SA epochs explored locally: 1701 Speed: 0.019731
[86524.4s] SA epochs explored locally: 1708 Speed: 0.0197401
[86788.7s] SA epochs explored locally: 1715 Speed: 0.0197606
[86857.4s] SA epochs explored locally: 1722 Speed: 0.0198256
[86972.1s] SA epochs explored locally: 1729 Speed: 0.0198799
[87273.1s] SA epochs explored locally: 1736 Speed: 0.0198916
[87333s] SA epochs explored locally: 1743 Speed: 0.0199581
[87348.2s] SA epochs explored locally: 1750 Speed: 0.0200348
[87389.4s] SA epochs explored locally: 1757 Speed: 0.0201054
[87426.9s] SA epochs explored locally: 1764 Speed: 0.0201769
[87502s] SA epochs explored locally: 1771 Speed: 0.0202395
[87612.2s] SA epochs explored locally: 1778 Speed: 0.020294
[87627.5s] SA epochs explored locally: 1785 Speed: 0.0203703
[87772.8s] SA epochs explored locally: 1792 Speed: 0.0204164
[87946.1s] SA epochs explored locally: 1799 Speed: 0.0204557
[88032.5s] SA epochs explored locally: 1806 Speed: 0.0205151
[88066.3s] SA epochs explored locally: 1813 Speed: 0.0205868
[88347.8s] SA epochs explored locally: 1820 Speed: 0.0206004
[88366.9s] SA epochs explored locally: 1827 Speed: 0.0206752
[88485.1s] SA epochs explored locally: 1834 Speed: 0.0207267
[88560.8s] SA epochs explored locally: 1841 Speed: 0.020788
[88750.4s] SA epochs explored locally: 1848 Speed: 0.0208224
[88864.6s] SA epochs explored locally: 1855 Speed: 0.0208744
[88910.7s] SA epochs explored locally: 1862 Speed: 0.0209424
[88998.1s] SA epochs explored locally: 1869 Speed: 0.0210005
[89070s] SA epochs explored locally: 1876 Speed: 0.0210621
[89137.9s] SA epochs explored locally: 1883 Speed: 0.0211246
[89164.5s] SA epochs explored locally: 1890 Speed: 0.0211968
[89187.4s] SA epochs explored locally: 1897 Speed: 0.0212698
[89198.7s] SA epochs explored locally: 1904 Speed: 0.0213456
[89240.3s] SA epochs explored locally: 1911 Speed: 0.0214141
[89393.5s] SA epochs explored locally: 1918 Speed: 0.0214557
[89412.5s] SA epochs explored locally: 1925 Speed: 0.0215294
[89435.2s] SA epochs explored locally: 1932 Speed: 0.0216022
[89502.7s] SA epochs explored locally: 1939 Speed: 0.0216642
[89510.4s] SA epochs explored locally: 1946 Speed: 0.0217405
[89556s] SA epochs explored locally: 1953 Speed: 0.0218076
[89642.8s] SA epochs explored locally: 1960 Speed: 0.0218646
[89718.6s] SA epochs explored locally: 1967 Speed: 0.0219241
[89741.5s] SA epochs explored locally: 1974 Speed: 0.0219965
[89813.7s] SA epochs explored locally: 1981 Speed: 0.0220568
[89825s] SA epochs explored locally: 1988 Speed: 0.0221319
[89974.8s] SA epochs explored locally: 1995 Speed: 0.0221729
[90035.1s] SA epochs explored locally: 2002 Speed: 0.0222358
[90110s] SA epochs explored locally: 2009 Speed: 0.022295
[90197.4s] SA epochs explored locally: 2016 Speed: 0.022351
[90383.1s] SA epochs explored locally: 2023 Speed: 0.0223825
[90458.3s] SA epochs explored locally: 2030 Speed: 0.0224413
[90507.5s] SA epochs explored locally: 2037 Speed: 0.0225064
[90665.1s] SA epochs explored locally: 2044 Speed: 0.0225445
[90799.1s] SA epochs explored locally: 2051 Speed: 0.0225883
[90817.8s] SA epochs explored locally: 2058 Speed: 0.0226607
[90919.8s] SA epochs explored locally: 2065 Speed: 0.0227123
[91205.2s] SA epochs explored locally: 2072 Speed: 0.022718
